iter	Passed	Remaining
1305	20611	10952
1306	20629	10938
1307	20644	10922
1308	20661	10906
1309	20676	10890
1310	20690	10873
1311	20706	10858
1312	20721	10842
1313	20739	10827
1314	20755	10812
1315	20771	10796
1316	20788	10780
1317	20803	10765
1318	20819	10749
1319	20835	10733
1320	20851	10717
1321	20867	10702
1322	20883	10686
1323	20899	10670
1324	20914	10654
1325	20929	10638
1326	20946	10623
1327	20962	10607
1328	20978	10591
1329	20994	10576
1330	21008	10559
1331	21024	10544
1332	21039	10527
1333	21057	10512
1334	21072	10497
1335	21088	10481
1336	21103	10465
1337	21118	10448
1338	21134	10433
1339	21151	10418
1340	21168	10402
1341	21183	10386
1342	21199	10371
1343	21216	10355
1344	21232	10340
1345	21251	10325
1346	21267	10309
1347	21282	10294
1348	21298	10278
1349	21314	10262
1350	21330	10246
1351	21346	10230
1352	21363	10215
1353	21377	10199
1354	21393	10183
1355	21410	10168
1356	21425	10152
1357	21441	10136
1358	21458	10121
1359	21474	10105
1360	21490	10089
1361	21506	10074
1362	21522	10058
1363	21538	10042
1364	21554	10026
1365	21570	10011
1366	21585	9995
1367	21602	9979
1368	21617	9964
1369	21633	9948
1370	21648	9932
1371	21661	9914
1372	21678	9899
1373	21693	9883
1374	21710	9868
1375	21726	9852
1376	21741	9836
1377	21758	9821
